companyFullName,companyShortName,companySize,financeStage,city,district,positionName,education,workYear,salary_min,salary_max,industryField,firstType,secondType,positionAdvantage,companyLabelList
上海谷露软件有限公司,谷露软件,50-150人,A轮,上海,黄浦区,python开发工程师,本科,1-3,15k,25k,"数据服务,企业服务",开发|测试|运维类,后端开发,极客团队，大牛多，技术氛围好,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']"
北京猎户星空科技有限公司,猎户星空,500-2000人,B轮,北京,朝阳区,Python开发工程师,本科,3-5,18k,35k,"移动互联网,硬件",开发|测试|运维类,后端开发,高速发展，潜力无限,"['五险一金', '股票期权', '带薪年假', '扁平管理']"
北京猎户星空科技有限公司,猎户星空,500-2000人,B轮,北京,朝阳区,python开发工程师,本科,5-10,20k,30k,"移动互联网,硬件",开发|测试|运维类,后端开发,全链条核心技术、创新机器人产品,"['五险一金', '股票期权', '带薪年假', '扁平管理']"
深圳威尔视觉传媒有限公司,威尔视觉,50-150人,A轮,深圳,南山区,python开发工程师,本科,3-5,18k,35k,"移动互联网,文娱丨内容",开发|测试|运维类,后端开发,"不打卡成长空间大,六险一金,年假十天起","['年底双薪', '带薪年假', '定期体检', '午餐补助']"
一方量化（北京）科技有限公司,一方量化,少于15人,未融资,北京,海淀区,Python开发工程师,本科,1-3,10k,20k,"金融,软件开发",开发|测试|运维类,后端开发,职位发展前景好；,[]
深圳盈立智能服务有限公司,uSMART盈立智投,150-500人,未融资,深圳,南山区,python开发工程师,本科,3-5,13k,25k,移动互联网 金融,开发|测试|运维类,后端开发,薪资待遇好 发展空间广阔,[]
信永中和会计师事务所（特殊普通合伙）,信永中和,2000人以上,不需要融资,北京,东城区,Python开发工程师,本科,3-5,15k,25k,企业服务,开发|测试|运维类,后端开发,"环境好,不加班,大公司","['带薪年假', '定期体检', '美女多', '扁平管理']"
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,北京,海淀区,python开发工程师,本科,3-5,15k,20k,移动互联网,开发|测试|运维类,后端开发,上市公司,"['绩效奖金', '通讯津贴', '定期体检', '带薪年假']"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,深圳,南山区,python开发工程师,本科,1-3,10k,20k,金融,开发|测试|运维类,后端开发,15薪，餐补，补充年假,"['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,北京,海淀区,Python工程师,本科,3-5,20k,40k,房产家居,开发|测试|运维类,后端开发,免费三餐 发展空间,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,C轮,上海,徐汇区,python开发工程师,本科,1-3,12k,18k,移动互联网,开发|测试|运维类,后端开发,有趣的伙伴 发展空间,"['技能培训', '节日礼物', '年底双薪', '绩效奖金']"
上海纳纳科技有限公司,纳纳科技,50-150人,不需要融资,上海,虹口区,Python,本科,3-5,17k,25k,"企业服务,数据服务",开发|测试|运维类,后端开发,平台稳 项目好 氛围佳 福利多,"['年底双薪', '专项奖金', '交通补助', '定期体检']"
上海炽聚网络科技有限公司,上海炽聚,50-150人,未融资,深圳,南山区,python工程师,本科,3-5,12k,15k,"软件开发,信息安全",开发|测试|运维类,后端开发,六险一金 带薪年假 团队氛围好,"['绩效奖金', '带薪年假', '定期体检', '餐补']"
威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,C轮,武汉,洪山区,Python开发工程师,本科,应届毕业生,7k,14k,"数据服务,信息安全",开发|测试|运维类,后端开发,大数据 多绩效,"['股票期权', '专项奖金', '带薪年假', '弹性工作']"
动视云（北京）科技有限公司,动视云科技,50-150人,A轮,北京,西城区,python开发工程师,本科,3-5,15k,25k,"游戏,数据服务",开发|测试|运维类,后端开发,腾讯投资 行业领先 云游戏平台 晋升空间大,"['岗位晋升', '通讯津贴', '定期体检', '午餐福利']"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,上海,浦东新区,Python高级开发工程师,本科,5-10,20k,40k,"移动互联网,电商",开发|测试|运维类,后端开发,互联网零售革命的推动者,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
深圳数池科技有限公司,数池科技,15-50人,天使轮,深圳,南山区,python开发工程师,本科,3-5,13k,20k,"企业服务,社交",开发|测试|运维类,后端开发,硅谷技术团队 前沿技术 追求**,"['扁平管理', '领导好', '网红营销', '新媒体营销']"
心灵失重（北京）科技有限公司,糗事百科,150-500人,A轮,深圳,南山区,Python,本科,3-5,15k,30k,移动互联网,开发|测试|运维类,后端开发,老司机来开车,"['媲美名企高薪', '无限量零食', '五险一金', '年度旅游']"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,上海,浦东新区,python开发工程师,本科,3-5,16k,28k,"移动互联网,电商",开发|测试|运维类,后端开发,扁平文化 外企氛围,"['节日礼物', '技能培训', '年底双薪', '年度旅游']"
深信服科技股份有限公司,深信服科技集团,2000人以上,上市公司,深圳,南山区,python开发工程师,本科,应届毕业生,15k,30k,"信息安全,企业服务",开发|测试|运维类,后端开发,"平台大,福利好,薪资高","['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']"
深圳市创想三维科技有限公司,创想三维,500-2000人,未融资,深圳,龙华新区,python开发工程师,本科,3-5,15k,20k,其他,开发|测试|运维类,后端开发,python,[]
一网互通（北京）科技有限公司,一网互通,50-150人,A轮,北京,朝阳区,Python开发工程师,本科,3-5,15k,25k,"广告营销,移动互联网",开发|测试|运维类,后端开发,餐补、团队氛围好、大牛亲带、弹性工作,"['午餐补助', '带薪年假', '定期体检', '弹性工作']"
杭州知衣科技有限公司,知衣科技,50-150人,A轮,杭州,萧山区,Python,本科,3-5,15k,28k,"移动互联网,电商",开发|测试|运维类,后端开发,大牛团队、大数据产品,"['大牛团队', '扁平管理', '年底双薪', '股票期权']"
上海宏路数据技术股份有限公司,Hypers,150-500人,上市公司,上海,黄浦区,Python开发工程师,大专,应届毕业生,8k,15k,移动互联网,开发|测试|运维类,后端开发,扁平化 成长快 氛围好,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']"
